county,value
Afghanistan,0
Algeria,0
Angola,0
Benin,0
Botswana,0
Burkina Faso,0
Burundi,0
Cameroon,0
Central African Republic,0
Chad,0
Comoros,0
Congo,0
Cote d'Ivoire,0
Cyprus,0
Democratic Republic of the Congo,0
Djibouti,0
Egypt,0
Equatorial Guinea,0
Eritrea,0
Ethiopia,0
Gabon,0
Ghana,0
Greece,0
Guinea,0
Guinea-Bissau,0
India,0
In dispute South Sudan/Sudan,0
Indonesia,0
Iran,0
Iraq,0
Israel,0
Italy,0
Jordan,0
Kenya,0
Lebanon,0
Lesotho,0
Liberia,0
Libya,0
Madagascar,0
Malawi,0
Malaysia,0
Mali,0
Mauritania,0
Mauritius,0
Mayotte,0
Morocco,0
Mozambique,0
Namibia,0
Niger,0
Nigeria,0
Oman,0
Pakistan,0
Portugal,0
Qatar,0
Reunion,0
Rwanda,0
Saudi Arabia,0
Senegal,0
Sierra Leone,0
Somalia,0
South Africa,0
South Sudan,0
Spain,0
Sri Lanka,0
Sudan,0
Swaziland,0
Syria,0
Tanzania,0
The Gambia,0
Togo,0
Tunisia,0
Turkey,0
Uganda,0
United Arab Emirates,0
West Bank,0
Western Sahara,0
Yemen,0
Zambia,0
Zimbabwe,0
