county,value
Afghanistan,0
Armenia,0
Azerbaijan,0
Bangladesh,0
Bhutan,0
Burma,0
Cambodia,0
China,0
Djibouti,0
Ethiopia,0
Georgia,0
India,0
In dispute China/India,0
In dispute India/Pakistan,0
Indonesia,0
Iran,0
Iraq,0
Japan,0
Kazakhstan,0
Kenya,0
Kyrgzstan,0
Laos,0
Malaysia,0
Mongolia,0
Nepal,0
Oman,0
Pakistan,0
Philippines,0
Russia,0
Saudi Arabia,0
Somalia,0
Syria,0
Taiwan,0
Tajikistan,0
Thailand,0
Turkey,0
Turkmenistan,0
Ukraine,0
United Arab Emirates,0
Uzbekistan,0
Vietnam,0
Yemen,0
