county,value
Albania,0
Algeria,0
Armenia,0
Austria,0
Azerbaijan,0
Belarus,0
Bosnia and Herzegovina,0
Bulgaria,0
Croatia,0
Czech Republic,0
Denmark,0
Finland,0
France,0
Georgia,0
Germany,0
Greece,0
Greenland,0
Hungary,0
Iceland,0
Iran,0
Iraq,0
Ireland,0
Italy,0
Kazakhstan,0
Kosovo,0
Lithuania,0
Luxembourg,0
Macedonia,0
Moldova,0
Montenegro,0
Morocco,0
Netherlands,0
Norway,0
Poland,0
Portugal,0
Romania,0
Russia,0
Serbia,0
Slovakia,0
Slovenia,0
Spain,0
Sweden,0
Switzerland,0
Syria,0
Tunisia,0
Turkey,0
Ukraine,0
United Kingdom,0
