county,value
Afghanistan,0
Albania,0
Algeria,0
Armenia,0
Austria,0
Azerbaijan,0
Bosnia and Herzegovina,0
Bulgaria,0
Cameroon,0
Chad,0
China,0
Croatia,0
Djibouti,0
Egypt,0
Eritrea,0
Ethiopia,0
Georgia,0
Greece,0
Hungary,0
India,0
In dispute China/India,0
In dispute India/Pakistan,0
Iran,0
Iraq,0
Israel,0
Italy,0
Jordan,0
Kazakhstan,0
Kosovo,0
Kyrgzstan,0
Lebanon,0
Libya,0
Macedonia,0
Moldova,0
Montenegro,0
Niger,0
Nigeria,0
Oman,0
Pakistan,0
Qatar,0
Romania,0
Russia,0
Saudi Arabia,0
Serbia,0
Slovenia,0
South Sudan,0
Sudan,0
Switzerland,0
Syria,0
Tajikistan,0
Tunisia,0
Turkey,0
Turkmenistan,0
Ukraine,0
Uzbekistan,0
West Bank,0
Yemen,0
