states,group,values
AK,Athletes,2
AL,Athletes,1
AR,Athletes,6
AZ,Athletes,10
CA,Athlete,20
CO,Athletes,18
CT,Athletes,8
DC,Athletes,3
DE,Athletes,2
FL,Athletes,39
GA,Athletes,14
HI,Athletes,4
ID,Athletes,2
IL,Athletes,17
IN,Athletes,13
IA,Athletes,3
KS,Athletes,3
KY,Athletes,2
LA,Athletes,3
ME,Athletes,1
MD,Athletes,11
MA,Athletes,13
MI,Athletes,10
MN,Athletes,11
MS,Athletes,4
MO,Athletes,11
MT,Athletes,0
NE,Athletes,4
NV,Athletes,4
NH,Athletes,4
NJ,Athletes,39
NM,Athletes,2
NY,Athletes,30
NC,Athletes,4
ND,Athletes,0
OH,Athletes,13
OK,Athletes,1
OR,Athletes,14
PA,Athletes,31
RI,Athletes,4
SC,Athletes,22
SD,Athletes,1
TN,Athletes,2
TX,Athletes,33
UT,Athletes,4
VT,Athletes,1
VA,Athletes,14
WA,Athletes,16
WV,Athletes,0
WI,Athletes,5
WY,Athletes,0
