country,value
Afghanistan,10
Akrotiri,10
Albania,10
Algeria,10
American Samoa,10
Andorra,10
Angola,10
Anguilla,10
Antigua & Barbuda,10
Argentina,10
Armenia,10
Aruba,10
Australia,10
Austria,10
Azerbaijan,10
Bahrain,10
Bangladesh,10
Barbados,10
Belarus,10
Belgium,10
Belize,10
Benin,10
Bermuda,10
Bhutan,10
Bolivia,10
Bonaire,10
Bosnia & Herzegovina,10
Botswana,10
Bouvet Island,10
Brazil,10
British Indian Ocean Territory,10
Brunei,10
Bulgaria,10
Burkina Faso,10
Burma,10
Burundi,10
Cabo Verde,10
Cambodia,10
Cameroon,10
Canada,10
Cayman Islands,10
Central African Republic,10
Chad,10
Chile,10
China,10
Christmas Island,10
Colombia,10
Comoros,10
Congo,10
Cook Islands,10
Coral Sea Islands,10
Costa Rica,10
Cote d'Ivoire,10
Croatia,10
Cuba,10
Cura̤ao,10
Cyprus,10
Czech Republic,10
Democratic Republic of the Congo,10
Denmark,10
Dhekelia,10
Djibouti,10
Dominica,10
Dominican Republic,10
Ecuador,10
Egypt,10
El Salvador,10
Equatorial Guinea,10
Eritrea,10
Estonia,10
Ethiopia,10
Falkland Islands,10
Faroe Islands,10
Federated States of Micronesia,10
Fiji,10
Finland,10
France,10
French Guiana,10
French Polynesia,10
French Southern & Antarctic Lands,10
Gabon,10
Gaza Strip,10
Georgia,10
Germany,10
Ghana,10
Gibraltar,10
Greece,10
Greenland,10
Grenada,10
Guadeloupe,10
Guam,10
Guatemala,10
Guernsey,10
Guinea,10
Guinea-Bissau,10
Guyana,10
Haiti,10
Heard Island & McDonald Islands,10
Honduras,10
Hong Kong,10
Hungary,10
Iceland,10
India,10
In dispute-Paracel Islands,10
In dispute Benin/Burkina Faso,10
In dispute BHUTAN/China,10
In dispute Brazil Uruguay,10
In dispute Canada/Denmark,10
In dispute China/India,10
In dispute China/Japan/Taiwan,10
In dispute Croatia/Slovenia,10
In dispute Egypt/Saudi Arabia,10
In dispute India/Nepal,10
In dispute India/Pakistan,10
In dispute Iran/United Arab Emirates,10
In dispute Japan/Russia,10
In dispute South Sudan/Sudan,10
Indonesia,10
Iran,10
Iraq,10
Ireland,10
Isle of Man,10
Israel,10
Italy,10
Jamaica,10
Jan Mayen,10
Japan,10
Jersey,10
Jordan,10
Kazakhstan,10
Kenya,10
Kiribati,10
Korean islands under UN jurisdiction,10
Kosovo,10
Kuwait,10
Kyrgzstan,10
Laos,10
Latvia,10
Lebanon,10
Lesotho,10
Liberia,10
Libya,10
Liechtenstein,10
Lithuania,10
Luxembourg,10
Macau,10
Macedonia,10
Madagascar,10
Malawi,10
Malaysia,10
Mali,10
Malta,10
Marshall Islands,10
Martinique,10
Mauritania,10
Mauritius,10
Mayotte,10
Mexico,10
Moldova,10
Monaco,10
Mongolia,10
Montenegro,10
Montserrat,10
Morocco,10
Mozambique,10
Namibia,10
Nauru,10
Nepal,10
Netherlands,10
New Caledonia,10
New Zealand,10
Nicaragua,10
Niger,10
Nigeria,10
Niue,10
No Man's Land-Israel/West Bank,10
Norfolk Island,10
Northern Mariana Islands,10
North Korea,10
Norway,10
Oman,10
Pacific Is Refuges,10
Pakistan,10
Palau,10
Panama,10
Papua New Guinea,10
Paraguay,10
Peru,10
Philippines,10
Pitcairn Islands,10
Poland,10
Portugal,10
Portugal,10
Puerto Rico,10
Qatar,10
Reunion,10
Romania,10
Russia,10
Russia,10
Rwanda,10
Saba,10
Saint Barthelemy,10
Saint Helena,10
Saint Kitts & Nevis,10
Saint Lucia,10
Saint Martin,10
Saint Pierre & Miquelon,10
Saint Vincent & The Grenadines,10
Samoa,10
San Marino,10
Sao Tome & Principe,10
Saudi Arabia,10
Senegal,10
Serbia,10
Seychelles,10
Sierra Leone,10
Singapore,10
Sint Eustatius,10
Sint Maarten,10
Slovakia,10
Slovenia,10
Soloman Islands,10
Somalia,10
South Africa,10
South Georgia & the South Sandwich Islands,10
South Korea,10
South Sudan,10
Spain,10
Spain,10
Sri Lanka,10
Sudan,10
Suriname,10
Svalbard,10
Swaziland,10
Sweden,10
Switzerland,10
Syria,10
Taiwan,10
Tajikistan,10
Tanzania,10
Thailand,10
The Bahamas,10
The Gambia,10
Timor-Leste,10
Togo,10
Tokelau,10
Tonga,10
Trinidad & Tobago,10
Tunisia,10
Turkey,10
Turkmenistan,10
Turks & Caicos Islands,10
Uganda,10
Ukraine,10
United Arab Emirates,10
United Kingdom,10
United States,10
Uruguay,10
Uzbekistan,10
Vanuatu,10
Vatican City,10
Venezuela,10
Vietnam,10
Virgin Islands (UK),10
Virgin Islands (US),10
Wallis and Futuna,10
West Bank,10
Western Sahara,10
Yemen,10
Zambia,10
Zimbabwe,10
